"","config","rpt","mean_test_score","std_test_score","activation","alpha","hidden_layer_sizes","max_iter","solver","train_cpu_duration","train_runtime_duration","train_cpu_meter_result","train_dram_meter_result","test_cpu_duration","test_runtime_duration","test_cpu_meter_result","test_dram_meter_result","test_accuracy_result","act","hls","sol","PF"
"2941",98,0,0.878301886792453,0.0389321375421947,"logistic",0.002,"(2,)",100,"lbfgs",0.0532917419998284,0.0532875061035156,3065361,0,0.123209889000009,0.123199224472046,7099286,0,0.909090909090909,1,2,3,TRUE
"2942",98,1,0.878301886792453,0.0389321375421947,"logistic",0.002,"(2,)",100,"lbfgs",0.0746911690002889,0.0747015476226807,4082876,0,0.13160902600066,0.131596803665161,7398051,0,0.909090909090909,1,2,3,TRUE
"2943",98,2,0.878301886792453,0.0389321375421947,"logistic",0.002,"(2,)",100,"lbfgs",0.0537946260010358,0.0537903308868408,3126396,0,0.119446230994072,0.119436025619507,6883161,0,0.909090909090909,1,2,3,TRUE
"2944",98,3,0.878301886792453,0.0389321375421947,"logistic",0.002,"(2,)",100,"lbfgs",0.0539705080009298,0.0539662837982178,3115471,0,0.123686752995127,0.12367582321167,7141095,0,0.909090909090909,1,2,3,TRUE
"2945",98,4,0.878301886792453,0.0389321375421947,"logistic",0.002,"(2,)",100,"lbfgs",0.0579907800129149,0.0579860210418701,3344230,0,0.126114147002227,0.126102924346924,7258588,0,0.909090909090909,1,2,3,TRUE
"2946",98,5,0.878301886792453,0.0389321375421947,"logistic",0.002,"(2,)",100,"lbfgs",0.0559623470035149,0.0559611320495605,3105583,0,0.117411553001148,0.117402076721191,6428450,0,0.909090909090909,1,2,3,TRUE
"2947",98,6,0.878301886792453,0.0389321375421947,"logistic",0.002,"(2,)",100,"lbfgs",0.0578737489995547,0.0578687191009521,3341422,0,0.128188361995853,0.128187656402588,7387799,0,0.909090909090909,1,2,3,TRUE
"2948",98,7,0.878301886792453,0.0389321375421947,"logistic",0.002,"(2,)",100,"lbfgs",0.0552184580010362,0.0552141666412354,3195243,0,0.115719433990307,0.115709066390991,6706709,0,0.909090909090909,1,2,3,TRUE
"2949",98,8,0.878301886792453,0.0389321375421947,"logistic",0.002,"(2,)",100,"lbfgs",0.0538132119982038,0.0538086891174316,3065117,0,0.116164351988118,0.116154193878174,6708356,0,0.909090909090909,1,2,3,TRUE
"2950",98,9,0.878301886792453,0.0389321375421947,"logistic",0.002,"(2,)",100,"lbfgs",0.0562620809942018,0.0562577247619629,3264090,0,0.115432179998606,0.115422248840332,6668929,0,0.909090909090909,1,2,3,TRUE
"2951",98,10,0.878301886792453,0.0389321375421947,"logistic",0.002,"(2,)",100,"lbfgs",0.0930511380138341,0.0930595397949219,5027453,0,0.137258685019333,0.137245893478394,7653057,0,0.909090909090909,1,2,3,TRUE
"2952",98,11,0.878301886792453,0.0389321375421947,"logistic",0.002,"(2,)",100,"lbfgs",0.0538857320207171,0.0538816452026367,3201531,0,0.116474699985702,0.116464376449585,6971112,0,0.909090909090909,1,2,3,TRUE
"2953",98,12,0.878301886792453,0.0389321375421947,"logistic",0.002,"(2,)",100,"lbfgs",0.0537029710249044,0.0536985397338867,3117364,0,0.12517214298714,0.125161170959473,7226483,0,0.909090909090909,1,2,3,TRUE
"2954",98,13,0.878301886792453,0.0389321375421947,"logistic",0.002,"(2,)",100,"lbfgs",0.0539161500055343,0.0539116859436035,3127555,0,0.120540829957463,0.120529890060425,6952375,0,0.909090909090909,1,2,3,TRUE
"2955",98,14,0.878301886792453,0.0389321375421947,"logistic",0.002,"(2,)",100,"lbfgs",0.0532424569828436,0.0532381534576416,3055717,0,0.115476766950451,0.115466833114624,6632064,0,0.909090909090909,1,2,3,TRUE
"2956",98,15,0.878301886792453,0.0389321375421947,"logistic",0.002,"(2,)",100,"lbfgs",0.0537869510008022,0.0537824630737305,3136284,0,0.115686435019597,0.115676164627075,6693098,0,0.909090909090909,1,2,3,TRUE
"2957",98,16,0.878301886792453,0.0389321375421947,"logistic",0.002,"(2,)",100,"lbfgs",0.0541904889978468,0.0541925430297852,3053397,0,0.165048700990155,0.165050029754639,9038368,0,0.909090909090909,1,2,3,TRUE
