"","config","rpt","mean_test_score","std_test_score","activation","alpha","hidden_layer_sizes","max_iter","solver","train_cpu_duration","train_runtime_duration","train_cpu_meter_result","train_dram_meter_result","test_cpu_duration","test_runtime_duration","test_cpu_meter_result","test_dram_meter_result","test_accuracy_result","act","hls","sol","PF"
"3451",115,0,0.67023988005997,0.0322301172794181,"logistic",0.002,"(5,)",400,"adam",0.437844954999946,0.437803745269775,25185848,0,0.133625758000107,0.13361382484436,7752666,0,0.677083333333333,1,5,1,TRUE
"3452",115,1,0.67023988005997,0.0322301172794181,"logistic",0.002,"(5,)",400,"adam",0.435417755004892,0.435533285140991,25016782,0,0.1332476030002,0.133235931396484,7642436,0,0.677083333333333,1,5,1,TRUE
"3453",115,2,0.67023988005997,0.0322301172794181,"logistic",0.002,"(5,)",400,"adam",0.438908718992025,0.438868045806885,25408748,0,0.132747791998554,0.132736206054688,7696025,0,0.677083333333333,1,5,1,TRUE
"3454",115,3,0.67023988005997,0.0322301172794181,"logistic",0.002,"(5,)",400,"adam",0.438044365000678,0.438003778457642,25235288,0,0.133728262007935,0.133716344833374,7766338,0,0.677083333333333,1,5,1,TRUE
"3455",115,4,0.67023988005997,0.0322301172794181,"logistic",0.002,"(5,)",400,"adam",0.439532541000517,0.439495086669922,25324337,0,0.133750955981668,0.133739233016968,7741313,0,0.677083333333333,1,5,1,TRUE
"3456",115,5,0.67023988005997,0.0322301172794181,"logistic",0.002,"(5,)",400,"adam",0.437985141994432,0.437944412231445,25231076,0,0.132642176002264,0.132630348205566,7620341,0,0.677083333333333,1,5,1,TRUE
"3457",115,6,0.67023988005997,0.0322301172794181,"logistic",0.002,"(5,)",400,"adam",0.436900109983981,0.436867475509644,25115232,0,0.133726596977795,0.133714914321899,7705668,0,0.677083333333333,1,5,1,TRUE
"3458",115,7,0.67023988005997,0.0322301172794181,"logistic",0.002,"(5,)",400,"adam",0.436252332990989,0.436211585998535,25292355,0,0.133210704982048,0.133199214935303,7737468,0,0.677083333333333,1,5,1,TRUE
"3459",115,8,0.67023988005997,0.0322301172794181,"logistic",0.002,"(5,)",400,"adam",0.453773604007438,0.453731298446655,26234735,0,0.133323971997015,0.133311986923218,7724712,0,0.677083333333333,1,5,1,TRUE
"3460",115,9,0.67023988005997,0.0322301172794181,"logistic",0.002,"(5,)",400,"adam",0.49082341400208,0.490777969360352,28265675,0,0.145163959998172,0.145151138305664,8341897,0,0.677083333333333,1,5,1,TRUE
"3461",115,10,0.67023988005997,0.0322301172794181,"logistic",0.002,"(5,)",400,"adam",0.453672586998437,0.453634023666382,26177179,0,0.133205500955228,0.133193731307983,7697734,0,0.677083333333333,1,5,1,TRUE
"3462",115,11,0.67023988005997,0.0322301172794181,"logistic",0.002,"(5,)",400,"adam",0.441646868013777,0.441613912582397,25583737,0,0.133302756992634,0.133291006088257,7724589,0,0.677083333333333,1,5,1,TRUE
"3463",115,12,0.67023988005997,0.0322301172794181,"logistic",0.002,"(5,)",400,"adam",0.436859328008723,0.436818599700928,25225948,0,0.1332250200212,0.133213520050049,7684307,0,0.677083333333333,1,5,1,TRUE
"3464",115,13,0.67023988005997,0.0322301172794181,"logistic",0.002,"(5,)",400,"adam",0.448813032999169,0.448771715164185,25966365,0,0.13395390601363,0.133961915969849,7801127,0,0.677083333333333,1,5,1,TRUE
"3465",115,14,0.67023988005997,0.0322301172794181,"logistic",0.002,"(5,)",400,"adam",0.437601397978142,0.437560796737671,25373531,0,0.132576088944916,0.132564544677734,7665081,0,0.677083333333333,1,5,1,TRUE
"3466",115,15,0.67023988005997,0.0322301172794181,"logistic",0.002,"(5,)",400,"adam",0.438309542951174,0.438268661499023,25429256,0,0.132479409105144,0.132467746734619,7681316,0,0.677083333333333,1,5,1,TRUE
"3467",115,16,0.67023988005997,0.0322301172794181,"logistic",0.002,"(5,)",400,"adam",0.436522334930487,0.436481952667236,25119564,0,0.133236948982812,0.133225202560425,7685161,0,0.677083333333333,1,5,1,TRUE
"3468",115,17,0.67023988005997,0.0322301172794181,"logistic",0.002,"(5,)",400,"adam",0.452912588953041,0.452870607376099,26106073,0,0.134170462028123,0.134158611297607,7726115,0,0.677083333333333,1,5,1,TRUE
"3469",115,18,0.67023988005997,0.0322301172794181,"logistic",0.002,"(5,)",400,"adam",0.43844627297949,0.438418626785278,25399471,0,0.133654364035465,0.133642673492432,7723980,0,0.677083333333333,1,5,1,TRUE
"3470",115,19,0.67023988005997,0.0322301172794181,"logistic",0.002,"(5,)",400,"adam",0.435780460946262,0.435739755630493,25168820,0,0.132736547035165,0.13272500038147,7690165,0,0.677083333333333,1,5,1,TRUE
"3471",115,20,0.67023988005997,0.0322301172794181,"logistic",0.002,"(5,)",400,"adam",0.438458755030297,0.438417911529541,25308468,0,0.133177248993888,0.133165836334229,7701213,0,0.677083333333333,1,5,1,TRUE
"3472",115,21,0.67023988005997,0.0322301172794181,"logistic",0.002,"(5,)",400,"adam",0.441953536006622,0.441912174224854,25598140,0,0.133052977034822,0.133041381835938,7693157,0,0.677083333333333,1,5,1,TRUE
"3473",115,22,0.67023988005997,0.0322301172794181,"logistic",0.002,"(5,)",400,"adam",0.436549036996439,0.436508417129517,25158932,0,0.132705812924542,0.132694005966187,7612896,0,0.677083333333333,1,5,1,TRUE
"3474",115,23,0.67023988005997,0.0322301172794181,"logistic",0.002,"(5,)",400,"adam",0.471994512947276,0.471954822540283,27172233,0,0.145575870061293,0.145563125610352,8372537,0,0.677083333333333,1,5,1,TRUE
"3475",115,24,0.67023988005997,0.0322301172794181,"logistic",0.002,"(5,)",400,"adam",0.445473968051374,0.445436239242554,25678767,0,0.133636198937893,0.133624315261841,7693401,0,0.677083333333333,1,5,1,TRUE
"3476",115,25,0.67023988005997,0.0322301172794181,"logistic",0.002,"(5,)",400,"adam",0.444989651092328,0.444948434829712,25616938,0,0.13258393201977,0.132572412490845,7627178,0,0.677083333333333,1,5,1,TRUE
"3477",115,26,0.67023988005997,0.0322301172794181,"logistic",0.002,"(5,)",400,"adam",0.496715913061053,0.49666953086853,28506580,0,0.145003509009257,0.14499044418335,8347696,0,0.677083333333333,1,5,1,TRUE
"3478",115,27,0.67023988005997,0.0322301172794181,"logistic",0.002,"(5,)",400,"adam",0.440645480062813,0.440604448318481,25386532,0,0.133924694964662,0.133913278579712,7707073,0,0.677083333333333,1,5,1,TRUE
"3479",115,28,0.67023988005997,0.0322301172794181,"logistic",0.002,"(5,)",400,"adam",0.440063536982052,0.440035104751587,25317624,0,0.13324678002391,0.133235216140747,7654155,0,0.677083333333333,1,5,1,TRUE
"3480",115,29,0.67023988005997,0.0322301172794181,"logistic",0.002,"(5,)",400,"adam",0.43564638402313,0.435605525970459,25238461,0,0.132112029008567,0.132100582122803,7604534,0,0.677083333333333,1,5,1,TRUE
"3901",130,0,0.701499250374813,0.0422077724899978,"logistic",0.002,"(10,)",800,"adam",0.953377725000337,0.953287839889526,54868390,0,0.152892896000139,0.152878999710083,8836709,0,0.739583333333333,1,10,1,TRUE
"3902",130,1,0.701499250374813,0.0422077724899978,"logistic",0.002,"(10,)",800,"adam",0.96100722799747,0.961068391799927,55252422,0,0.153490163000242,0.153476715087891,8811439,0,0.739583333333333,1,10,1,TRUE
"3903",130,2,0.701499250374813,0.0422077724899978,"logistic",0.002,"(10,)",800,"adam",0.940788039006293,0.940712690353394,54512190,0,0.152691486000549,0.152677536010742,8831887,0,0.739583333333333,1,10,1,TRUE
"3904",130,3,0.701499250374813,0.0422077724899978,"logistic",0.002,"(10,)",800,"adam",0.945014505996369,0.94493842124939,54359907,0,0.153375934998621,0.153362274169922,8835609,0,0.739583333333333,1,10,1,TRUE
